ts,username,platform,ms_played,conn_country,ip_addr_decrypted,user_agent_decrypted,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
2022-10-13T16:23:39Z,dmurat125,"iOS 16.0 (iPhone12,1)",174227,TR,176.54.55.5,unknown,Alice,PeBE,Alice,spotify:track:0pOUqvvOuMOEy6DKtiZrQ9,,,,trackdone,trackdone,false,,false,1665678043889,false
2022-10-13T16:26:52Z,dmurat125,"iOS 16.0 (iPhone12,1)",192931,TR,176.54.55.5,unknown,Time Flies,Drake,Dark Lane Demo Tapes,spotify:track:5H4mXWKcicuLKDn4Jy0sK7,,,,trackdone,trackdone,false,,false,1665678218496,false
2022-10-13T16:30:55Z,dmurat125,"iOS 16.0 (iPhone12,1)",242965,TR,176.54.55.5,unknown,Knife Talk (with 21 Savage ft. Project Pat),Drake,Certified Lover Boy,spotify:track:2BcMwX1MPV6ZHP4tUT9uq6,,,,trackdone,trackdone,false,,false,1665678411970,false
2022-10-13T16:34:35Z,dmurat125,"iOS 16.0 (iPhone12,1)",218801,TR,176.54.55.5,unknown,m y . l i f e (with 21 Savage & Morray),J. Cole,The Off-Season,spotify:track:1D3z6HTiQsNmZxjl7F7eoG,,,,trackdone,trackdone,false,,false,1665678655392,false
2022-10-13T16:37:28Z,dmurat125,"iOS 16.0 (iPhone12,1)",172933,TR,176.54.55.5,unknown,PUFFIN ON ZOOTIEZ,Future,I NEVER LIKED YOU,spotify:track:1qMMYpVatbRITKCfq1gasi,,,,trackdone,trackdone,false,,false,1665678874691,false
2022-10-13T16:40:47Z,dmurat125,"iOS 16.0 (iPhone12,1)",198581,TR,176.54.55.5,unknown,Konum Gizli (feat. Murda),MERO,Konum Gizli (feat. Murda),spotify:track:5h1Zdr8ghV5RaWjtdfVo8w,,,,trackdone,trackdone,false,,false,1665679048205,false
2022-10-13T16:44:26Z,dmurat125,"iOS 16.0 (iPhone12,1)",218364,TR,176.54.55.5,unknown,Jimmy Cooks (feat. 21 Savage),Drake,"Honestly, Nevermind",spotify:track:3F5CgOj3wFlRv51JsHbxhe,,,,trackdone,trackdone,false,,false,1665679247257,false
2022-10-13T17:15:40Z,dmurat125,"iOS 16.0 (iPhone12,1)",17573,TR,176.54.55.5,unknown,WAIT FOR U (feat. Drake & Tems),Future,I NEVER LIKED YOU,spotify:track:59nOXPmaKlBfGMDeOVGrIK,,,,trackdone,endplay,false,,false,1665679466091,false
2022-10-13T17:18:46Z,dmurat125,"iOS 16.0 (iPhone12,1)",178538,TR,176.54.55.5,unknown,POPSTAR (feat. Drake),DJ Khaled,POPSTAR (feat. Drake),spotify:track:6EDO9iiTtwNv6waLwa1UUq,,,,clickrow,endplay,false,,false,1665681339834,false
2022-10-13T17:24:22Z,dmurat125,"iOS 16.0 (iPhone12,1)",337640,TR,176.54.55.5,unknown,Believe Me,Lil Wayne,Believe Me,spotify:track:6t2eIONH4Sax3R21QWiKNp,,,,clickrow,trackdone,false,,false,1665681525663,false
2022-10-13T17:27:00Z,dmurat125,"iOS 16.0 (iPhone12,1)",156636,TR,176.54.55.5,unknown,UNUTTUM,UZI,EL CHAVO,spotify:track:7dFVvPxqk4O32ra3VjfUwU,,,,trackdone,trackdone,false,,false,1665681862355,false
2022-10-13T17:28:52Z,dmurat125,"iOS 16.0 (iPhone12,1)",111520,TR,176.54.55.5,unknown,Şahane,Organize,Şahane,spotify:track:4DbNopoUiA7WRz36e1hRS1,,,,trackdone,trackdone,false,,false,1665682019471,false
2022-10-13T19:02:41Z,dmurat125,OS X 12.6.0 [x86 8],5955,TR,176.54.55.5,unknown,Leyla,Tahribad-ı İsyan,Leyla,spotify:track:0cJQnTt5Kj35DmcfYl0MyH,,,,remote,logout,true,,false,1665491314793,false
2022-10-13T19:38:51Z,dmurat125,"iOS 16.0 (iPhone12,1)",105962,TR,176.54.55.5,unknown,Inzaghi,Ati242,Natural Born Digga,spotify:track:36S6sHnPZ0VBjD4uLbNXM7,,,,trackdone,endplay,false,,false,1665682131481,false
2022-10-13T19:41:30Z,dmurat125,"iOS 16.0 (iPhone12,1)",112237,TR,176.54.55.5,unknown,Şahane,Organize,Şahane,spotify:track:4DbNopoUiA7WRz36e1hRS1,,,,clickrow,trackdone,false,,false,1665689928771,false
2022-10-13T20:24:26Z,dmurat125,"iOS 16.0 (iPhone12,1)",28403,TR,176.54.55.5,unknown,Inzaghi,Ati242,Natural Born Digga,spotify:track:36S6sHnPZ0VBjD4uLbNXM7,,,,trackdone,backbtn,false,,false,1665690090357,false
2022-10-13T20:26:16Z,dmurat125,"iOS 16.0 (iPhone12,1)",111520,TR,176.54.55.5,unknown,Şahane,Organize,Şahane,spotify:track:4DbNopoUiA7WRz36e1hRS1,,,,backbtn,trackdone,false,,false,1665692665314,false
2022-10-14T09:01:04Z,dmurat125,"iOS 16.0 (iPhone12,1)",82796,TR,176.54.55.5,unknown,Inzaghi,Ati242,Natural Born Digga,spotify:track:36S6sHnPZ0VBjD4uLbNXM7,,,,trackdone,endplay,false,,false,1665692775800,false
2022-10-14T09:02:54Z,dmurat125,"iOS 16.0 (iPhone12,1)",111520,TR,176.54.55.5,unknown,Şahane,Organize,Şahane,spotify:track:4DbNopoUiA7WRz36e1hRS1,,,,clickrow,trackdone,false,,false,1665738063667,false
2022-10-14T09:05:37Z,dmurat125,"iOS 16.0 (iPhone12,1)",161857,TR,176.54.55.5,unknown,Inzaghi,Ati242,Natural Born Digga,spotify:track:36S6sHnPZ0VBjD4uLbNXM7,,,,trackdone,trackdone,false,,false,1665738174149,false
2022-10-14T11:17:44Z,dmurat125,"iOS 16.0 (iPhone12,1)",115724,TR,176.54.55.5,unknown,Hasbelkader,ElMusto,Hasbelkader,spotify:track:2YgfSOiRwR52RKnYyNYZmT,,,,trackdone,endplay,false,,false,1665738336557,false
2022-10-14T14:01:38Z,dmurat125,"iOS 16.0 (iPhone12,1)",64234,TR,176.54.55.5,unknown,Şahane,Organize,Şahane,spotify:track:4DbNopoUiA7WRz36e1hRS1,,,,clickrow,unexpected-exit-while-paused,false,,false,1665746262960,false
